oid,mjd,fid,ra,dec,isdiffpos,mag_used,err_used
ZTF18aajtltx,58375.18146990007,2,274.3821967,58.4936663,-1,18.888788,0.12861829
ZTF18aajtltx,58375.24271989986,1,274.3822955,58.4935699,-1,19.37839,0.2305998500000009
ZTF18aajtltx,58378.18165510008,1,274.3823651,58.4936473,-1,19.37839,0.15606
ZTF18aajtltx,58378.24041670002,2,274.3821932,58.4937344,-1,19.095758,0.13476925
ZTF18aajtltx,58379.17306709988,1,274.3822869,58.493701,-1,19.37839,0.19667365
ZTF18aajtltx,58382.13409719989,2,274.3821274,58.493712,-1,19.322718,0.18432261
ZTF18aajtltx,58382.13879630016,2,274.3822754,58.4936913,-1,18.898872,0.1493979
ZTF18aajtltx,58382.17924770014,1,274.3823074,58.4936591,-1,19.37006,0.14631255
ZTF18aajtltx,58382.18250000011,1,274.3822838,58.4937361,-1,19.37839,0.2305998500000009
ZTF18aajtltx,58384.16228009993,2,274.3823107,58.4937846,-1,19.0341,0.2305998500000009
ZTF18aajtltx,58384.2244213,1,274.3822227,58.4936934,-1,19.37839,0.18932123
ZTF18aajtltx,58557.52704859991,2,274.3823355,58.493638,1,19.199993,0.20782486
ZTF18aajtltx,58572.50659719994,1,274.3822581,58.4936986,1,19.37839,0.2305998500000009
ZTF18aajtltx,58584.41000000015,2,274.3826122,58.4936566,1,19.308552,0.18149716
ZTF18aajtltx,58584.46979170013,1,274.3822453,58.4937026,1,19.37839,0.2305998500000009
ZTF18aajtltx,58608.39021989983,2,274.3821941,58.4935652,1,19.304863,0.14650881
ZTF18aajtltx,58608.39067129977,2,274.3823899,58.49365,1,19.087841,0.16285147
ZTF18aajtltx,58608.43305560015,1,274.3820539,58.493733,1,19.37839,0.20612946
ZTF18aajtltx,58635.427511599846,1,274.3821503,58.4936367,1,19.37839,0.2305998500000009
ZTF18aajtltx,58641.41237269994,2,274.3824581,58.4935638,1,19.315308,0.18418483
ZTF18aajtltx,58653.40619210014,2,274.3821117,58.4935979,1,18.9802,0.2305998500000009
ZTF18aajtltx,58657.39241900016,2,274.382089,58.4936357,1,19.37839,0.2305998500000009
ZTF18aajtltx,58657.41295140004,2,274.3821714,58.4935556,1,19.37839,0.2305998500000009
ZTF18aajtltx,58660.32725689979,2,274.3825041,58.4934617,1,19.37839,0.183189
ZTF18aajtltx,58660.34598380001,1,274.3821951,58.4936123,1,19.37839,0.2305998500000009
ZTF18aajtltx,58660.3468865999,1,274.3824403,58.4935371,1,19.37839,0.1931908
ZTF18aajtltx,58662.22564810002,1,274.3824049,58.4935222,1,19.37839,0.1924155
ZTF18aajtltx,58662.22609949997,1,274.3822361,58.4935489,1,19.37839,0.2305998500000009
ZTF18aajtltx,58668.28903939994,1,274.3820517,58.4936749,1,19.37839,0.2305998500000009
ZTF18aajtltx,58668.32888890011,2,274.3823467,58.4935428,1,19.141844,0.16341397
ZTF18aajtltx,58677.26490740013,2,274.3820908,58.4936786,1,18.8597,0.2305998500000009
ZTF18aajtltx,58680.20142359985,1,274.3822489,58.4936704,1,19.37839,0.2305998500000009
ZTF18aajtltx,58680.24761570012,2,274.3822373,58.4937303,1,18.712013,0.21251403
ZTF18aajtltx,58682.218067099806,1,274.3823845,58.4937075,1,19.37839,0.2305998500000009
ZTF18aajtltx,58682.26157409977,2,274.3820625,58.4936305,1,18.8599,0.2305998500000009
ZTF18aajtltx,58683.24917820003,2,274.3822518,58.4936042,1,18.619732,0.2072945
ZTF18aajtltx,58684.24033559999,2,274.3822292,58.4935941,1,19.37839,0.2305998500000009
ZTF18aajtltx,58684.26740740007,1,274.3822306,58.4937554,1,19.37839,0.2305998500000009
ZTF18aajtltx,58685.365891200025,1,274.3822169,58.4936986,1,19.37839,0.2305998500000009
ZTF18aajtltx,58685.36842590012,1,274.3823393,58.4936004,1,19.37839,0.2305998500000009
ZTF18aajtltx,58691.20230320003,2,274.3823611,58.493477,1,19.284794,0.13676327
ZTF18aajtltx,58692.32962960005,2,274.3824154,58.4935638,1,19.0039,0.202806
ZTF18aajtltx,58693.21837959997,2,274.3822896,58.493526,1,19.28119,0.20496856
ZTF18aajtltx,58693.26305560023,1,274.3823028,58.4937121,1,19.216,0.2305998500000009
ZTF18aajtltx,58693.26350690005,1,274.3821952,58.4935756,1,19.37839,0.2305998500000009
ZTF18aajtltx,58693.27877310012,1,274.3822567,58.4936587,1,19.37839,0.15804608
ZTF18aajtltx,58694.20131940022,2,274.3821985,58.493553,1,19.3151,0.2305998500000009
ZTF18aajtltx,58694.201805599965,2,274.3824077,58.4936204,1,18.679443,0.17473142
ZTF18aajtltx,58695.27880789992,2,274.38233,58.4937187,-1,17.4314,0.168148
ZTF18aajtltx,58695.28130789986,2,274.3823514,58.4936338,1,18.537401,0.16590494
ZTF18aajtltx,58695.30817130022,1,274.3821486,58.4936423,1,19.37839,0.2305998500000009
ZTF18aajtltx,58696.2802546001,2,274.3821864,58.4936011,1,18.793768,0.14001906
ZTF18aajtltx,58696.28275460005,2,274.3824844,58.4936123,1,18.8429,0.219759
